final_price,game_name,game_url,img_url,release_date,reviews_summary
Free,Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1698860631,"21 Aug, 2012","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹3,999.00",Ghost of Tsushima DIRECTOR'S CUT,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2215430/capsule_sm_120.jpg?t=1715880413,"16 May, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹2,549.00",Baldur's Gate 3,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1713271288,"3 Aug, 2023","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,Dota 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1714502360,"9 Jul, 2013","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,300.00",Hades II,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1145350/capsule_sm_120.jpg?t=1715727000,"6 May, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,499.00",Cyberpunk 2077,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1715334241,"9 Dec, 2020","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,Destiny 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1085660/capsule_sm_120.jpg?t=1715101527,"1 Oct, 2019","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹3,599.00",ELDEN RING,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1710261394,"24 Feb, 2022","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹2,499.00",HELLDIVERS™ 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/553850/capsule_sm_120.jpg?t=1715880416,"8 Feb, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,350.00",V Rising,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1604030/capsule_sm_120.jpg?t=1715590903,"8 May, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
